year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
1983,AF,AF,11.426696,3.2841516,10.778749,32.430206,Afghanistan,AFG,4.497571176729134,2529.474926512628,,,,,7.4565182,0,0,0,0,1,0,AF
2000,AF,AF,11.833452,2.825778,10.778749,32.430206,Afghanistan,AFG,5.448543104064445,478.1043497274696,,,,,7.4565182,0,0,0,0,1,0,AF
1973,AF,AF,11.09893,3.4910653,10.778749,32.430206,Afghanistan,AFG,2.563557230048105,2119.436182852126,,,,,7.4565182,0,0,0,0,1,0,AF
2006,AF,AF,12.711716,3.9184318,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
2004,AF,AF,13.133223,2.8997176,10.778749,32.430206,Afghanistan,AFG,7.829112204437413,580.8326473177131,,37.22625351,87000000000,53600000000,7.4565182,0,0,0,0,1,0,AF
2002,AF,AF,12.398135,3.7647114,10.778749,32.430206,Afghanistan,AFG,4.232123750646942,525.8540384204719,,49.82722473,89800000000,36200000000,7.4565182,0,0,0,0,1,0,AF
1963,AF,AF,11.715347,3.8828022,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1972,AF,AF,9.5267277,4.5001106,10.778749,32.430206,Afghanistan,AFG,2.273127613095105,2119.625286890264,,,,,7.4565182,0,0,0,0,1,0,AF
1961,AF,AF,10.775178,3.8008258,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1953,AF,AF,11.372045,3.4845247,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1959,AF,AF,10.920752,5.0632353,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1966,AF,AF,11.247096,3.479692,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1995,AF,AF,10.709713,3.9881186,10.778749,32.430206,Afghanistan,AFG,5.25602947238469,920.7470375319184,,,,,7.4565182,0,0,0,0,1,0,AF
1969,AF,AF,10.636225,3.3141649,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1976,AF,AF,10.805511,3.4607692,10.778749,32.430206,Afghanistan,AFG,4.889307766255614,2269.601225082389,,,,,7.4565182,0,0,0,0,1,0,AF
2001,AF,AF,12.247101,2.6191196,10.778749,32.430206,Afghanistan,AFG,5.44854310422448,418.2312031137957,,,,,7.4565182,0,0,0,0,1,0,AF
1975,AF,AF,10.329297,3.4256315,10.778749,32.430206,Afghanistan,AFG,3.412370194870451,2263.112347684663,,,,,7.4565182,0,0,0,0,1,0,AF
1957,AF,AF,9.4077606,4.8301463,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1981,AF,AF,11.459477,4.0148067,10.778749,32.430206,Afghanistan,AFG,4.549225722838652,2297.685601330349,,,,,7.4565182,0,0,0,0,1,0,AF
1958,AF,AF,11.392986,3.7125342,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1974,AF,AF,10.411225,3.1704917,10.778749,32.430206,Afghanistan,AFG,3.117067766378156,2148.019818199119,,,,,7.4565182,0,0,0,0,1,0,AF
1950,AF,AF,9.7655783,3.3217728,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1967,AF,AF,10.542119,4.3933558,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1992,AF,AF,10.673532,4.0424709,10.778749,32.430206,Afghanistan,AFG,5.208725557511986,1447.250461261229,,,,,7.4565182,0,0,0,0,1,0,AF
1971,AF,AF,11.758612,2.5349274,10.778749,32.430206,Afghanistan,AFG,1.891849591995488,1748.382111051343,,,,,7.4565182,0,0,0,0,1,0,AF
1954,AF,AF,10.628375,4.1141667,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1997,AF,AF,10.895866,3.8689604,10.778749,32.430206,Afghanistan,AFG,5.110547462208698,1029.113275242996,,,,,7.4565182,0,0,0,0,1,0,AF
1986,AF,AF,11.240335,3.6837726,10.778749,32.430206,Afghanistan,AFG,4.47877681194606,2617.033485913763,,,,,7.4565182,0,0,0,0,1,0,AF
1979,AF,AF,11.330858,2.8637998,10.778749,32.430206,Afghanistan,AFG,4.150654911565097,2121.102219943121,,,,,7.4565182,0,0,0,0,1,0,AF
2003,AF,AF,12.305157,3.4959228,10.778749,32.430206,Afghanistan,AFG,4.369825383609808,588.0760454565545,,48.50016403,105000000000,40500000000,7.4565182,0,0,0,0,1,0,AF
1996,AF,AF,10.730086,3.8770208,10.778749,32.430206,Afghanistan,AFG,5.288062366253786,939.6581614105801,,,,,7.4565182,0,0,0,0,1,0,AF
